,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
270,2015,1264.0,SH.DTH.IMRT,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
271,2016,1193.0,SH.DTH.IMRT,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
272,2017,1126.0,SH.DTH.IMRT,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
273,2018,1067.0,SH.DTH.IMRT,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
274,2019,1014.0,SH.DTH.IMRT,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
275,2015,355285.0,SH.DTH.IMRT,PAK,Pakistan,South Asia,Lower middle income,Blend
276,2016,350590.0,SH.DTH.IMRT,PAK,Pakistan,South Asia,Lower middle income,Blend
277,2017,345102.0,SH.DTH.IMRT,PAK,Pakistan,South Asia,Lower middle income,Blend
278,2018,338766.0,SH.DTH.IMRT,PAK,Pakistan,South Asia,Lower middle income,Blend
279,2019,331594.0,SH.DTH.IMRT,PAK,Pakistan,South Asia,Lower middle income,Blend
280,2015,22725.0,SH.DTH.IMRT,USA,United States,North America,High income,Not classified
281,2016,22444.0,SH.DTH.IMRT,USA,United States,North America,High income,Not classified
282,2017,22234.0,SH.DTH.IMRT,USA,United States,North America,High income,Not classified
283,2018,22023.0,SH.DTH.IMRT,USA,United States,North America,High income,Not classified
284,2019,21779.0,SH.DTH.IMRT,USA,United States,North America,High income,Not classified
285,2015,453.0,SH.DTH.IMRT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
286,2016,446.0,SH.DTH.IMRT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
287,2017,440.0,SH.DTH.IMRT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
288,2018,435.0,SH.DTH.IMRT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
289,2019,430.0,SH.DTH.IMRT.FE,AUS,Australia,East Asia & Pacific,High income,Not classified
290,2015,69672.0,SH.DTH.IMRT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
291,2016,64159.0,SH.DTH.IMRT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
292,2017,58777.0,SH.DTH.IMRT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
293,2018,54042.0,SH.DTH.IMRT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
294,2019,49499.0,SH.DTH.IMRT.FE,CHN,China,East Asia & Pacific,Upper middle income,IBRD
295,2015,1162.0,SH.DTH.IMRT.FE,FRA,France,Europe & Central Asia,High income,Not classified
296,2016,1162.0,SH.DTH.IMRT.FE,FRA,France,Europe & Central Asia,High income,Not classified
297,2017,1172.0,SH.DTH.IMRT.FE,FRA,France,Europe & Central Asia,High income,Not classified
298,2018,1189.0,SH.DTH.IMRT.FE,FRA,France,Europe & Central Asia,High income,Not classified
299,2019,1205.0,SH.DTH.IMRT.FE,FRA,France,Europe & Central Asia,High income,Not classified
300,2015,1070.0,SH.DTH.IMRT.FE,DEU,Germany,Europe & Central Asia,High income,Not classified
301,2016,1090.0,SH.DTH.IMRT.FE,DEU,Germany,Europe & Central Asia,High income,Not classified
302,2017,1107.0,SH.DTH.IMRT.FE,DEU,Germany,Europe & Central Asia,High income,Not classified
303,2018,1117.0,SH.DTH.IMRT.FE,DEU,Germany,Europe & Central Asia,High income,Not classified
304,2019,1118.0,SH.DTH.IMRT.FE,DEU,Germany,Europe & Central Asia,High income,Not classified
305,2015,408725.0,SH.DTH.IMRT.FE,IND,India,South Asia,Lower middle income,IBRD
306,2016,383982.0,SH.DTH.IMRT.FE,IND,India,South Asia,Lower middle income,IBRD
307,2017,361415.0,SH.DTH.IMRT.FE,IND,India,South Asia,Lower middle income,IBRD
308,2018,341012.0,SH.DTH.IMRT.FE,IND,India,South Asia,Lower middle income,IBRD
309,2019,322490.0,SH.DTH.IMRT.FE,IND,India,South Asia,Lower middle income,IBRD
310,2015,955.0,SH.DTH.IMRT.FE,JPN,Japan,East Asia & Pacific,High income,Not classified
311,2016,910.0,SH.DTH.IMRT.FE,JPN,Japan,East Asia & Pacific,High income,Not classified
312,2017,863.0,SH.DTH.IMRT.FE,JPN,Japan,East Asia & Pacific,High income,Not classified
313,2018,820.0,SH.DTH.IMRT.FE,JPN,Japan,East Asia & Pacific,High income,Not classified
314,2019,779.0,SH.DTH.IMRT.FE,JPN,Japan,East Asia & Pacific,High income,Not classified
315,2015,564.0,SH.DTH.IMRT.FE,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
316,2016,532.0,SH.DTH.IMRT.FE,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
317,2017,501.0,SH.DTH.IMRT.FE,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
318,2018,474.0,SH.DTH.IMRT.FE,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
319,2019,451.0,SH.DTH.IMRT.FE,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
320,2015,154645.0,SH.DTH.IMRT.FE,PAK,Pakistan,South Asia,Lower middle income,Blend
321,2016,152492.0,SH.DTH.IMRT.FE,PAK,Pakistan,South Asia,Lower middle income,Blend
322,2017,150012.0,SH.DTH.IMRT.FE,PAK,Pakistan,South Asia,Lower middle income,Blend
323,2018,147151.0,SH.DTH.IMRT.FE,PAK,Pakistan,South Asia,Lower middle income,Blend
324,2019,143988.0,SH.DTH.IMRT.FE,PAK,Pakistan,South Asia,Lower middle income,Blend
325,2015,10105.0,SH.DTH.IMRT.FE,USA,United States,North America,High income,Not classified
326,2016,9979.0,SH.DTH.IMRT.FE,USA,United States,North America,High income,Not classified
327,2017,9884.0,SH.DTH.IMRT.FE,USA,United States,North America,High income,Not classified
328,2018,9787.0,SH.DTH.IMRT.FE,USA,United States,North America,High income,Not classified
329,2019,9678.0,SH.DTH.IMRT.FE,USA,United States,North America,High income,Not classified
330,2015,58.69,SL.EMP.1524.SP.FE.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
331,2016,58.65,SL.EMP.1524.SP.FE.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
332,2017,58.5,SL.EMP.1524.SP.FE.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
333,2018,60.0,SL.EMP.1524.SP.FE.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
334,2019,60.38,SL.EMP.1524.SP.FE.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
335,2015,41.85,SL.EMP.1524.SP.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
336,2016,40.8,SL.EMP.1524.SP.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
337,2017,39.96,SL.EMP.1524.SP.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
338,2018,39.26,SL.EMP.1524.SP.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
339,2019,38.24,SL.EMP.1524.SP.FE.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
340,2015,26.19,SL.EMP.1524.SP.FE.ZS,FRA,France,Europe & Central Asia,High income,Not classified
341,2016,26.34,SL.EMP.1524.SP.FE.ZS,FRA,France,Europe & Central Asia,High income,Not classified
342,2017,26.86,SL.EMP.1524.SP.FE.ZS,FRA,France,Europe & Central Asia,High income,Not classified
343,2018,27.81,SL.EMP.1524.SP.FE.ZS,FRA,France,Europe & Central Asia,High income,Not classified
344,2019,28.28,SL.EMP.1524.SP.FE.ZS,FRA,France,Europe & Central Asia,High income,Not classified
345,2015,43.66,SL.EMP.1524.SP.FE.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
346,2016,44.24,SL.EMP.1524.SP.FE.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
347,2017,45.4,SL.EMP.1524.SP.FE.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
348,2018,45.41,SL.EMP.1524.SP.FE.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
349,2019,46.26,SL.EMP.1524.SP.FE.ZS,DEU,Germany,Europe & Central Asia,High income,Not classified
350,2015,9.29,SL.EMP.1524.SP.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
351,2016,8.67,SL.EMP.1524.SP.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
352,2017,8.13,SL.EMP.1524.SP.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
353,2018,7.64,SL.EMP.1524.SP.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
354,2019,7.42,SL.EMP.1524.SP.FE.ZS,IND,India,South Asia,Lower middle income,IBRD
355,2015,40.79,SL.EMP.1524.SP.FE.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
356,2016,42.57,SL.EMP.1524.SP.FE.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
357,2017,43.01,SL.EMP.1524.SP.FE.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
358,2018,46.68,SL.EMP.1524.SP.FE.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
359,2019,47.94,SL.EMP.1524.SP.FE.ZS,JPN,Japan,East Asia & Pacific,High income,Not classified
360,2015,27.99,SL.EMP.1524.SP.FE.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
361,2016,28.2,SL.EMP.1524.SP.FE.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
362,2017,28.17,SL.EMP.1524.SP.FE.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
363,2018,27.81,SL.EMP.1524.SP.FE.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
364,2019,27.21,SL.EMP.1524.SP.FE.ZS,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
365,2015,18.72,SL.EMP.1524.SP.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
366,2016,18.13,SL.EMP.1524.SP.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
367,2017,17.6,SL.EMP.1524.SP.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
368,2018,17.09,SL.EMP.1524.SP.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
369,2019,16.98,SL.EMP.1524.SP.FE.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
370,2015,44.95,SL.EMP.1524.SP.FE.ZS,USA,United States,North America,High income,Not classified
371,2016,45.79,SL.EMP.1524.SP.FE.ZS,USA,United States,North America,High income,Not classified
372,2017,47.08,SL.EMP.1524.SP.FE.ZS,USA,United States,North America,High income,Not classified
373,2018,47.42,SL.EMP.1524.SP.FE.ZS,USA,United States,North America,High income,Not classified
374,2019,47.92,SL.EMP.1524.SP.FE.ZS,USA,United States,North America,High income,Not classified
375,2018,1.0,SE.ADT.1524.LT.FM.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
376,2018,0.9696400166,SE.ADT.1524.LT.FM.ZS,IND,India,South Asia,Lower middle income,IBRD
377,2017,0.8310899734,SE.ADT.1524.LT.FM.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
378,2018,0.8065599799000001,SE.ADT.1524.LT.FM.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
379,2019,0.8175899982,SE.ADT.1524.LT.FM.ZS,PAK,Pakistan,South Asia,Lower middle income,Blend
380,2018,5.90278,SG.TIM.UWRK.MA,CHN,China,East Asia & Pacific,Upper middle income,IBRD
381,2016,3.125,SG.TIM.UWRK.MA,JPN,Japan,East Asia & Pacific,High income,Not classified
382,2019,4.375,SG.TIM.UWRK.MA,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified
383,2015,9.75,SG.TIM.UWRK.MA,USA,United States,North America,High income,Not classified
384,2016,9.79167,SG.TIM.UWRK.MA,USA,United States,North America,High income,Not classified
385,2017,9.875,SG.TIM.UWRK.MA,USA,United States,North America,High income,Not classified
386,2018,9.54167,SG.TIM.UWRK.MA,USA,United States,North America,High income,Not classified
387,2019,9.66667,SG.TIM.UWRK.MA,USA,United States,North America,High income,Not classified
